worker_id,session_duration,tasks_completed_session,quality_session,total_reward,
A35ER6TWIMQRJM,365,48,0.666666667,1.45,7.890410959
A2QX7M306Z6ZJ7,376,49,0.755102041,1.29,7.819148936
A2G2S14YIRXEKP,381,46,0.695652174,1.29,7.244094488
A7BCBYYNSORBY,385,49,0.775510204,1.28,7.636363636
AVEUV5HGMBAQA,386,50,0.68,1.3,7.772020725
A21XMG5KSWXX9M,387,45,0.644444444,1.22,6.976744186
A1LJRHW7DSCHOW,391,50,0.66,1.32,7.672634271
A1SW2B761CAR48,392,49,0.653061224,1.37,7.5
A2XMKA4PI5O0C,400,16,0.6875,0.44,2.4
A2343T22LV1V17,405,50,0.68,1.36,7.407407407
AWIG92ISYM93N,406,50,0.64,1.31,7.389162562
A3TVJTQUSMF8NI,407,49,0.734693878,1.38,7.223587224
A3FIN4CUQQ8RN7,411,48,0.520833333,1.33,7.00729927
A1U09W2A2G4UWD,412,47,0.70212766,1.3,6.844660194
ANMV627610253,417,49,0.612244898,1.41,7.050359712
A3MG1TXKB2V3V7,440,48,0.75,1.33,6.545454545
A2KUEMZHTK9724,453,48,0.708333333,1.36,6.357615894
A1Q89Q9URVARUG,455,49,0.714285714,1.29,6.461538462
AWGOTRBZPJYWN,472,50,0.7,1.29,6.355932203
AHPW5R1OVKV1X,494,50,0.7,1.4,6.072874494
AHLY43ZD9BNAF,495,49,0.755102041,1.32,5.939393939
A1H02T7P69OQ7F,498,50,0.54,1.22,6.024096386
A3FH8K3XZJADMY,507,48,0.708333333,1.17,5.680473373
A2D2MD5O79XHXY,508,45,0.666666667,1.18,5.31496063
A20ETN0FA897XC,514,44,0.772727273,1.17,5.13618677
A1V3KOQXC2MUJ6,530,50,0.68,1.28,5.660377358
A2EFU49M2SLYU2,531,48,0.666666667,1.27,5.423728814
A354YHGCCVW4N5,547,42,0.595238095,1.1,4.606946984
A3MC4FJOC2UVYJ,576,48,0.75,1.35,5
A10E4LHR5D2K1B,594,50,0.66,1.43,5.050505051
A1UGBF713D1AGZ,596,47,0.744680851,1.21,4.731543624
A3OW4Y37UD3SML,611,50,0.72,1.36,4.909983633
ATJYRPD1X80EY,613,50,0.66,1.34,4.893964111
A3MF5GN0AFDWGN,616,39,0.666666667,1.06,3.798701299
AWIJA22L1YW6N,622,49,0.693877551,1.29,4.726688103
AIFRN9GF0Q1ZI,632,47,0.595744681,1.36,4.462025316
A2TBEXK0NIDWEC,636,50,0.64,1.34,4.716981132
A35UWK03FDJ4KV,642,20,0.5,0.46,1.869158879
A3IT7C62W5QCYD,644,50,0.68,1.36,4.658385093
A2U9UDH0HUYH3U,665,47,0.659574468,1.33,4.240601504
A2IYGRTEJEB6DW,692,46,0.652173913,1.3,3.988439306
A3C7Z9ALUTSXHX,704,44,0.818181818,1.2,3.75
A33Z2X2GR192YL,707,43,0.581395349,1.17,3.649222065
A2Z65E2WBVVA2N,723,41,0.56097561,1.21,3.402489627
A39DY43GBH49SJ,764,50,0.8,1.46,3.926701571
AX9LH5UKXP452,767,50,0.64,1.32,3.911342894
A3T7NZQKMAQDWH,820,44,0.704545455,1.21,3.219512195
AE5DFKX78LO7P,905,47,0.659574468,1.32,3.116022099
A7QWSL1MOFVO7,968,46,0.652173913,1.3,2.851239669
A1FUQZSFQ2ENEF,1503,46,0.717391304,1.3,1.836327345
A26KOGQVJXSXER,1819,50,0.64,1.43,1.649257834
A1IXO4DJWHL397,43624,46,0.760869565,1.24,0.063267926
A10E4LHR5D2K1B,,,,,
A10E4LHR5D2K1B,,,,,
A10E4LHR5D2K1B,,,,,
A10E4LHR5D2K1B,,,,,
A11NAAM1V7WAWE,,,,,
A11NAAM1V7WAWE,,,,,
A11NAAM1V7WAWE,,,,,
A11NAAM1V7WAWE,,,,,
A16V6AFM78H6HU,,,,,
A16V6AFM78H6HU,,,,,
A16V6AFM78H6HU,,,,,
A16V6AFM78H6HU,,,,,
A17YHLSRIOLN3R,,,,,
A17YHLSRIOLN3R,,,,,
A17YHLSRIOLN3R,,,,,
A17YHLSRIOLN3R,,,,,
A19QMK6Z98GB7R,,,,,
A19QMK6Z98GB7R,,,,,
A19QMK6Z98GB7R,,,,,
A19QMK6Z98GB7R,,,,,
A1FUQZSFQ2ENEF,,,,,
A1FUQZSFQ2ENEF,,,,,
A1FUQZSFQ2ENEF,,,,,
A1FUQZSFQ2ENEF,,,,,
A1H02T7P69OQ7F,,,,,
A1H02T7P69OQ7F,,,,,
A1H02T7P69OQ7F,,,,,
A1H02T7P69OQ7F,,,,,
A1HRH92NH49RX2,,,,,
A1HRH92NH49RX2,,,,,
A1HRH92NH49RX2,,,,,
A1HRH92NH49RX2,,,,,
A1HYBTBCRYOOYQ,,,,,
A1HYBTBCRYOOYQ,,,,,
A1HYBTBCRYOOYQ,,,,,
A1HYBTBCRYOOYQ,,,,,
A1IHUEZVS632K5,,,,,
A1IHUEZVS632K5,,,,,
A1IHUEZVS632K5,,,,,
A1IHUEZVS632K5,,,,,
A1IXO4DJWHL397,,,,,
A1IXO4DJWHL397,,,,,
A1IXO4DJWHL397,,,,,
A1IXO4DJWHL397,,,,,
A1LJRHW7DSCHOW,,,,,
A1LJRHW7DSCHOW,,,,,
A1LJRHW7DSCHOW,,,,,
A1LJRHW7DSCHOW,,,,,
A1LQQ7UQKJYITI,,,,,
A1LQQ7UQKJYITI,,,,,
A1LQQ7UQKJYITI,,,,,
A1LQQ7UQKJYITI,,,,,
A1NCIKNP38QAK6,,,,,
A1NCIKNP38QAK6,,,,,
A1NCIKNP38QAK6,,,,,
A1NCIKNP38QAK6,,,,,
A1NO6ZM4D7A6AB,,,,,
A1NO6ZM4D7A6AB,,,,,
A1NO6ZM4D7A6AB,,,,,
A1NO6ZM4D7A6AB,,,,,
A1OS7VYYVLF0AX,,,,,
A1OS7VYYVLF0AX,,,,,
A1OS7VYYVLF0AX,,,,,
A1OS7VYYVLF0AX,,,,,
A1Q89Q9URVARUG,,,,,
A1Q89Q9URVARUG,,,,,
A1Q89Q9URVARUG,,,,,
A1Q89Q9URVARUG,,,,,
A1SE0JWWA7WH5L,,,,,
A1SE0JWWA7WH5L,,,,,
A1SE0JWWA7WH5L,,,,,
A1SE0JWWA7WH5L,,,,,
A1SW2B761CAR48,,,,,
A1SW2B761CAR48,,,,,
A1SW2B761CAR48,,,,,
A1SW2B761CAR48,,,,,
A1U09W2A2G4UWD,,,,,
A1U09W2A2G4UWD,,,,,
A1U09W2A2G4UWD,,,,,
A1U09W2A2G4UWD,,,,,
A1UGBF713D1AGZ,,,,,
A1UGBF713D1AGZ,,,,,
A1UGBF713D1AGZ,,,,,
A1UGBF713D1AGZ,,,,,
A1V3KOQXC2MUJ6,,,,,
A1V3KOQXC2MUJ6,,,,,
A1V3KOQXC2MUJ6,,,,,
A1V3KOQXC2MUJ6,,,,,
A1VU3AAUHYB1B3,,,,,
A1VU3AAUHYB1B3,,,,,
A1VU3AAUHYB1B3,,,,,
A1VU3AAUHYB1B3,,,,,
A1XQID5VRCNP42,,,,,
A1XQID5VRCNP42,,,,,
A1XQID5VRCNP42,,,,,
A1XQID5VRCNP42,,,,,
A1ZNHWL3R1SHBC,,,,,
A1ZNHWL3R1SHBC,,,,,
A1ZNHWL3R1SHBC,,,,,
A1ZNHWL3R1SHBC,,,,,
A20ETN0FA897XC,,,,,
A20ETN0FA897XC,,,,,
A20ETN0FA897XC,,,,,
A20ETN0FA897XC,,,,,
A21XMG5KSWXX9M,,,,,
A21XMG5KSWXX9M,,,,,
A21XMG5KSWXX9M,,,,,
A21XMG5KSWXX9M,,,,,
A2343T22LV1V17,,,,,
A2343T22LV1V17,,,,,
A2343T22LV1V17,,,,,
A2343T22LV1V17,,,,,
A23O1087TEPUI7,,,,,
A23O1087TEPUI7,,,,,
A23O1087TEPUI7,,,,,
A23O1087TEPUI7,,,,,
A25Q9MNP4M7THO,,,,,
A25Q9MNP4M7THO,,,,,
A25Q9MNP4M7THO,,,,,
A25Q9MNP4M7THO,,,,,
A262EK9JW5FTK4,,,,,
A262EK9JW5FTK4,,,,,
A262EK9JW5FTK4,,,,,
A262EK9JW5FTK4,,,,,
A26KOGQVJXSXER,,,,,
A26KOGQVJXSXER,,,,,
A26KOGQVJXSXER,,,,,
A26KOGQVJXSXER,,,,,
A26T17KHYA5S3S,,,,,
A26T17KHYA5S3S,,,,,
A26T17KHYA5S3S,,,,,
A26T17KHYA5S3S,,,,,
A29PKMLH38N148,,,,,
A29PKMLH38N148,,,,,
A29PKMLH38N148,,,,,
A29PKMLH38N148,,,,,
A2AUD0EEYGAWKH,,,,,
A2AUD0EEYGAWKH,,,,,
A2AUD0EEYGAWKH,,,,,
A2AUD0EEYGAWKH,,,,,
A2BCYSJDAAQ3XA,,,,,
A2BCYSJDAAQ3XA,,,,,
A2BCYSJDAAQ3XA,,,,,
A2BCYSJDAAQ3XA,,,,,
A2D2MD5O79XHXY,,,,,
A2D2MD5O79XHXY,,,,,
A2D2MD5O79XHXY,,,,,
A2D2MD5O79XHXY,,,,,
A2EFU49M2SLYU2,,,,,
A2EFU49M2SLYU2,,,,,
A2EFU49M2SLYU2,,,,,
A2EFU49M2SLYU2,,,,,
A2G2S14YIRXEKP,,,,,
A2G2S14YIRXEKP,,,,,
A2G2S14YIRXEKP,,,,,
A2G2S14YIRXEKP,,,,,
A2H557RQ3T3LPX,,,,,
A2H557RQ3T3LPX,,,,,
A2H557RQ3T3LPX,,,,,
A2H557RQ3T3LPX,,,,,
A2IYGRTEJEB6DW,,,,,
A2IYGRTEJEB6DW,,,,,
A2IYGRTEJEB6DW,,,,,
A2IYGRTEJEB6DW,,,,,
A2KUEMZHTK9724,,,,,
A2KUEMZHTK9724,,,,,
A2KUEMZHTK9724,,,,,
A2KUEMZHTK9724,,,,,
A2MP227F412SIR,,,,,
A2MP227F412SIR,,,,,
A2MP227F412SIR,,,,,
A2MP227F412SIR,,,,,
A2O97UY43FFEII,,,,,
A2O97UY43FFEII,,,,,
A2O97UY43FFEII,,,,,
A2O97UY43FFEII,,,,,
A2QX7M306Z6ZJ7,,,,,
A2QX7M306Z6ZJ7,,,,,
A2QX7M306Z6ZJ7,,,,,
A2QX7M306Z6ZJ7,,,,,
A2TBEXK0NIDWEC,,,,,
A2TBEXK0NIDWEC,,,,,
A2TBEXK0NIDWEC,,,,,
A2TBEXK0NIDWEC,,,,,
A2U9UDH0HUYH3U,,,,,
A2U9UDH0HUYH3U,,,,,
A2U9UDH0HUYH3U,,,,,
A2U9UDH0HUYH3U,,,,,
A2VB559SBL3KKB,,,,,
A2VB559SBL3KKB,,,,,
A2VB559SBL3KKB,,,,,
A2VB559SBL3KKB,,,,,
A2XMKA4PI5O0C,,,,,
A2XMKA4PI5O0C,,,,,
A2XMKA4PI5O0C,,,,,
A2XMKA4PI5O0C,,,,,
A2YMPGADK5MEP0,,,,,
A2YMPGADK5MEP0,,,,,
A2YMPGADK5MEP0,,,,,
A2YMPGADK5MEP0,,,,,
A2Z65E2WBVVA2N,,,,,
A2Z65E2WBVVA2N,,,,,
A2Z65E2WBVVA2N,,,,,
A2Z65E2WBVVA2N,,,,,
A30MVTZP96EHL4,,,,,
A30MVTZP96EHL4,,,,,
A30MVTZP96EHL4,,,,,
A30MVTZP96EHL4,,,,,
A32A1D3VE1IQKS,,,,,
A32A1D3VE1IQKS,,,,,
A32A1D3VE1IQKS,,,,,
A32A1D3VE1IQKS,,,,,
A33R99HE75VFE3,,,,,
A33R99HE75VFE3,,,,,
A33R99HE75VFE3,,,,,
A33R99HE75VFE3,,,,,
A33Z2X2GR192YL,,,,,
A33Z2X2GR192YL,,,,,
A33Z2X2GR192YL,,,,,
A33Z2X2GR192YL,,,,,
A34YB581F2C46K,,,,,
A34YB581F2C46K,,,,,
A34YB581F2C46K,,,,,
A34YB581F2C46K,,,,,
A354YHGCCVW4N5,,,,,
A354YHGCCVW4N5,,,,,
A354YHGCCVW4N5,,,,,
A354YHGCCVW4N5,,,,,
A35ER6TWIMQRJM,,,,,
A35ER6TWIMQRJM,,,,,
A35ER6TWIMQRJM,,,,,
A35ER6TWIMQRJM,,,,,
A35UWK03FDJ4KV,,,,,
A35UWK03FDJ4KV,,,,,
A35UWK03FDJ4KV,,,,,
A35UWK03FDJ4KV,,,,,
A3813SWFH1OWNO,,,,,
A3813SWFH1OWNO,,,,,
A3813SWFH1OWNO,,,,,
A3813SWFH1OWNO,,,,,
A39DY43GBH49SJ,,,,,
A39DY43GBH49SJ,,,,,
A39DY43GBH49SJ,,,,,
A39DY43GBH49SJ,,,,,
A3C7Z9ALUTSXHX,,,,,
A3C7Z9ALUTSXHX,,,,,
A3C7Z9ALUTSXHX,,,,,
A3C7Z9ALUTSXHX,,,,,
A3FH8K3XZJADMY,,,,,
A3FH8K3XZJADMY,,,,,
A3FH8K3XZJADMY,,,,,
A3FH8K3XZJADMY,,,,,
A3FIN4CUQQ8RN7,,,,,
A3FIN4CUQQ8RN7,,,,,
A3FIN4CUQQ8RN7,,,,,
A3FIN4CUQQ8RN7,,,,,
A3FPBA6Z1ZBVZE,,,,,
A3FPBA6Z1ZBVZE,,,,,
A3FPBA6Z1ZBVZE,,,,,
A3FPBA6Z1ZBVZE,,,,,
A3IT7C62W5QCYD,,,,,
A3IT7C62W5QCYD,,,,,
A3IT7C62W5QCYD,,,,,
A3IT7C62W5QCYD,,,,,
A3IXM7AROZIX0H,,,,,
A3IXM7AROZIX0H,,,,,
A3IXM7AROZIX0H,,,,,
A3IXM7AROZIX0H,,,,,
A3KT02CXO9T6Z8,,,,,
A3KT02CXO9T6Z8,,,,,
A3KT02CXO9T6Z8,,,,,
A3KT02CXO9T6Z8,,,,,
A3MC4FJOC2UVYJ,,,,,
A3MC4FJOC2UVYJ,,,,,
A3MC4FJOC2UVYJ,,,,,
A3MC4FJOC2UVYJ,,,,,
A3MF5GN0AFDWGN,,,,,
A3MF5GN0AFDWGN,,,,,
A3MF5GN0AFDWGN,,,,,
A3MF5GN0AFDWGN,,,,,
A3MG1TXKB2V3V7,,,,,
A3MG1TXKB2V3V7,,,,,
A3MG1TXKB2V3V7,,,,,
A3MG1TXKB2V3V7,,,,,
A3O5G4PAUHAVOI,,,,,
A3O5G4PAUHAVOI,,,,,
A3O5G4PAUHAVOI,,,,,
A3O5G4PAUHAVOI,,,,,
A3OW4Y37UD3SML,,,,,
A3OW4Y37UD3SML,,,,,
A3OW4Y37UD3SML,,,,,
A3OW4Y37UD3SML,,,,,
A3T7NZQKMAQDWH,,,,,
A3T7NZQKMAQDWH,,,,,
A3T7NZQKMAQDWH,,,,,
A3T7NZQKMAQDWH,,,,,
A3T7NZQKMAQDWH,,,,,
A3T7NZQKMAQDWH,,,,,
A3TVJTQUSMF8NI,,,,,
A3TVJTQUSMF8NI,,,,,
A3TVJTQUSMF8NI,,,,,
A3TVJTQUSMF8NI,,,,,
A3U4UPZA3DRONW,,,,,
A3U4UPZA3DRONW,,,,,
A3U4UPZA3DRONW,,,,,
A3U4UPZA3DRONW,,,,,
A3USIJJCFXMG33,,,,,
A3USIJJCFXMG33,,,,,
A3USIJJCFXMG33,,,,,
A3USIJJCFXMG33,,,,,
A46M35FVJ5YDS,,,,,
A46M35FVJ5YDS,,,,,
A46M35FVJ5YDS,,,,,
A46M35FVJ5YDS,,,,,
A4C4JPLX3M246,,,,,
A4C4JPLX3M246,,,,,
A4C4JPLX3M246,,,,,
A4C4JPLX3M246,,,,,
A7BCBYYNSORBY,,,,,
A7BCBYYNSORBY,,,,,
A7BCBYYNSORBY,,,,,
A7BCBYYNSORBY,,,,,
A7QWSL1MOFVO7,,,,,
A7QWSL1MOFVO7,,,,,
A7QWSL1MOFVO7,,,,,
A7QWSL1MOFVO7,,,,,
AB4SWSQGKADYJ,,,,,
AB4SWSQGKADYJ,,,,,
AB4SWSQGKADYJ,,,,,
AB4SWSQGKADYJ,,,,,
AE5DFKX78LO7P,,,,,
AE5DFKX78LO7P,,,,,
AE5DFKX78LO7P,,,,,
AE5DFKX78LO7P,,,,,
AEDANPWFSD3KB,,,,,
AEDANPWFSD3KB,,,,,
AEDANPWFSD3KB,,,,,
AEDANPWFSD3KB,,,,,
AHFWMHXRTGDK9,,,,,
AHFWMHXRTGDK9,,,,,
AHFWMHXRTGDK9,,,,,
AHFWMHXRTGDK9,,,,,
AHLY43ZD9BNAF,,,,,
AHLY43ZD9BNAF,,,,,
AHLY43ZD9BNAF,,,,,
AHLY43ZD9BNAF,,,,,
AHPW5R1OVKV1X,,,,,
AHPW5R1OVKV1X,,,,,
AHPW5R1OVKV1X,,,,,
AHPW5R1OVKV1X,,,,,
AIFRN9GF0Q1ZI,,,,,
AIFRN9GF0Q1ZI,,,,,
AIFRN9GF0Q1ZI,,,,,
AIFRN9GF0Q1ZI,,,,,
ALWIVW72RVB5E,,,,,
ALWIVW72RVB5E,,,,,
ALWIVW72RVB5E,,,,,
ALWIVW72RVB5E,,,,,
ANMV627610253,,,,,
ANMV627610253,,,,,
ANMV627610253,,,,,
ANMV627610253,,,,,
AQSK1671FL496,,,,,
AQSK1671FL496,,,,,
AQSK1671FL496,,,,,
AQSK1671FL496,,,,,
AQSK1671FL496,,,,,
ATJYRPD1X80EY,,,,,
ATJYRPD1X80EY,,,,,
ATJYRPD1X80EY,,,,,
ATJYRPD1X80EY,,,,,
AUGN7P7HPWY1H,,,,,
AUGN7P7HPWY1H,,,,,
AUGN7P7HPWY1H,,,,,
AUGN7P7HPWY1H,,,,,
AVEUV5HGMBAQA,,,,,
AVEUV5HGMBAQA,,,,,
AVEUV5HGMBAQA,,,,,
AVEUV5HGMBAQA,,,,,
AWGOTRBZPJYWN,,,,,
AWGOTRBZPJYWN,,,,,
AWGOTRBZPJYWN,,,,,
AWGOTRBZPJYWN,,,,,
AWIG92ISYM93N,,,,,
AWIG92ISYM93N,,,,,
AWIG92ISYM93N,,,,,
AWIG92ISYM93N,,,,,
AWIJA22L1YW6N,,,,,
AWIJA22L1YW6N,,,,,
AWIJA22L1YW6N,,,,,
AWIJA22L1YW6N,,,,,
AX9LH5UKXP452,,,,,
AX9LH5UKXP452,,,,,
AX9LH5UKXP452,,,,,
AX9LH5UKXP452,,,,,
AYZ10DNMOH3GG,,,,,
AYZ10DNMOH3GG,,,,,
AYZ10DNMOH3GG,,,,,
AYZ10DNMOH3GG,,,,,
AZSIQOEHMFQ4J,,,,,
AZSIQOEHMFQ4J,,,,,
AZSIQOEHMFQ4J,,,,,
AZSIQOEHMFQ4J,,,,,
