worker_id,window_duration,tasks_completed,correct_tasks,partial_reward,session_duration,tasks_completed_session,quality_session,total_reward
A2D2MD5O79XHXY,90.0,9,7.0,0.25,,,,
A2D2MD5O79XHXY,74.0,9,6.0,0.23,,,,
A2D2MD5O79XHXY,107.0,10,8.0,0.27,,,,
A2G2S14YIRXEKP,18.0,2,1.0,0.05,,,,
A2G2S14YIRXEKP,,,,,,,,
A2G2S14YIRXEKP,,,,,,,,
A2G2S14YIRXEKP,,,,,,,,
A2G2S14YIRXEKP,,,,,,,,
A2H557RQ3T3LPX,142.0,9,5.0,0.26,,,,
A2H557RQ3T3LPX,,,,,,,,
A2H557RQ3T3LPX,,,,,,,,
A2H557RQ3T3LPX,,,,,,,,
A2H557RQ3T3LPX,,,,,,,,
A2KUEMZHTK9724,71.0,10,6.0,0.27,,,,
A2KUEMZHTK9724,67.0,10,8.0,0.27,,,,
A2KUEMZHTK9724,68.0,10,9.0,0.27,,,,
A2KUEMZHTK9724,54.0,10,9.0,0.27,,,,
A2KUEMZHTK9724,45.0,10,9.0,0.27,,,,
A2MP227F412SIR,52.0,10,7.0,0.27,,,,
A2MP227F412SIR,50.0,10,5.0,0.27,,,,
A2MP227F412SIR,40.0,10,6.0,0.27,,,,
A2MP227F412SIR,26.0,7,6.0,0.18,,,,
A2MP227F412SIR,43.0,10,8.0,0.27,,,,
A2O97UY43FFEII,10.0,1,1.0,0.03,,,,
A2O97UY43FFEII,0.0,1,1.0,0.03,,,,
A2O97UY43FFEII,0.0,1,1.0,0.03,,,,
A2O97UY43FFEII,0.0,1,0.0,0.03,,,,
A2O97UY43FFEII,0.0,1,1.0,0.03,,,,
A2QX7M306Z6ZJ7,234.0,10,5.0,0.27,,,,
A2QX7M306Z6ZJ7,84.0,10,9.0,0.27,,,,
A2QX7M306Z6ZJ7,79.0,10,8.0,0.27,,,,
A2QX7M306Z6ZJ7,80.0,10,8.0,0.27,,,,
A2QX7M306Z6ZJ7,70.0,10,9.0,0.27,,,,
A2TBEXK0NIDWEC,104.0,9,5.0,0.24,,,,
A2TBEXK0NIDWEC,105.0,10,5.0,0.27,,,,
A2TBEXK0NIDWEC,43.0,5,4.0,0.14,,,,
A2TBEXK0NIDWEC,127.0,10,5.0,0.27,,,,
A2TBEXK0NIDWEC,92.0,10,6.0,0.27,,,,
A2U9UDH0HUYH3U,94.0,10,9.0,0.27,,,,
A2U9UDH0HUYH3U,72.0,10,7.0,0.27,,,,
A2U9UDH0HUYH3U,68.0,10,9.0,0.27,,,,
A2U9UDH0HUYH3U,71.0,10,7.0,0.27,,,,
A2U9UDH0HUYH3U,84.0,10,5.0,0.27,,,,
A2VB559SBL3KKB,81.0,10,9.0,0.27,,,,
A2VB559SBL3KKB,62.0,10,10.0,0.27,,,,
A2VB559SBL3KKB,64.0,10,7.0,0.27,,,,
A2VB559SBL3KKB,78.0,10,6.0,0.27,,,,
A2VB559SBL3KKB,,,,,,,,
A2XMKA4PI5O0C,124.0,9,6.0,0.25,,,,
A2XMKA4PI5O0C,,,,,,,,
A2XMKA4PI5O0C,,,,,,,,
A2XMKA4PI5O0C,,,,,,,,
A2XMKA4PI5O0C,,,,,,,,
A2YMPGADK5MEP0,95.0,10,5.0,0.27,,,,
A2YMPGADK5MEP0,,,,,,,,
A2YMPGADK5MEP0,,,,,,,,
A2YMPGADK5MEP0,,,,,,,,
A2YMPGADK5MEP0,,,,,,,,
A2Z65E2WBVVA2N,114.0,10,7.0,0.27,,,,
A2Z65E2WBVVA2N,100.0,10,5.0,0.27,,,,
A2Z65E2WBVVA2N,85.0,9,6.0,0.26,,,,
A2Z65E2WBVVA2N,78.0,8,5.0,0.22,,,,
A2Z65E2WBVVA2N,102.0,9,6.0,0.26,,,,
A30MVTZP96EHL4,56.0,10,7.0,0.27,,,,
A30MVTZP96EHL4,46.0,10,8.0,0.27,,,,
A30MVTZP96EHL4,60.0,10,7.0,0.27,,,,
A30MVTZP96EHL4,40.0,10,5.0,0.27,,,,
A30MVTZP96EHL4,39.0,10,5.0,0.27,,,,
A32A1D3VE1IQKS,54.0,10,8.0,0.27,,,,
A32A1D3VE1IQKS,39.0,10,7.0,0.27,,,,
A32A1D3VE1IQKS,40.0,10,8.0,0.27,,,,
A32A1D3VE1IQKS,44.0,10,8.0,0.27,,,,
A32A1D3VE1IQKS,49.0,10,8.0,0.27,,,,
A33R99HE75VFE3,81.0,10,4.0,0.27,,,,
A33R99HE75VFE3,60.0,10,7.0,0.27,,,,
A33R99HE75VFE3,57.0,10,5.0,0.27,,,,
A33R99HE75VFE3,55.0,10,4.0,0.27,,,,
A33R99HE75VFE3,56.0,10,6.0,0.27,,,,
A33Z2X2GR192YL,102.0,10,7.0,0.27,,,,
A33Z2X2GR192YL,91.0,10,7.0,0.27,,,,
A33Z2X2GR192YL,86.0,10,9.0,0.27,,,,
A33Z2X2GR192YL,72.0,10,4.0,0.27,,,,
A33Z2X2GR192YL,79.0,10,6.0,0.27,,,,
A34YB581F2C46K,118.0,10,10.0,0.27,,,,
A34YB581F2C46K,39.0,8,6.0,0.22,,,,
A34YB581F2C46K,,,,,,,,
A34YB581F2C46K,,,,,,,,
A34YB581F2C46K,,,,,,,,
A354YHGCCVW4N5,93.0,8,5.0,0.23,,,,
A354YHGCCVW4N5,93.0,8,7.0,0.21,,,,
A354YHGCCVW4N5,77.0,8,6.0,0.2,,,,
A354YHGCCVW4N5,91.0,9,6.0,0.23,,,,
A354YHGCCVW4N5,93.0,7,6.0,0.2,,,,
A35UWK03FDJ4KV,125.0,9,6.0,0.26,,,,
A35UWK03FDJ4KV,119.0,8,3.0,0.22,,,,
A35UWK03FDJ4KV,,,,,,,,
A35UWK03FDJ4KV,,,,,,,,
A35UWK03FDJ4KV,,,,,,,,
A3813SWFH1OWNO,56.0,10,8.0,0.27,,,,
A3813SWFH1OWNO,41.0,10,7.0,0.27,,,,
A3813SWFH1OWNO,44.0,10,6.0,0.27,,,,
A3813SWFH1OWNO,36.0,10,8.0,0.27,,,,
A3813SWFH1OWNO,34.0,10,6.0,0.27,,,,
A39DY43GBH49SJ,195.0,10,9.0,0.27,,,,
A39DY43GBH49SJ,120.0,10,6.0,0.27,,,,
A39DY43GBH49SJ,114.0,10,8.0,0.25,,,,
A39DY43GBH49SJ,122.0,10,8.0,0.27,,,,
A39DY43GBH49SJ,106.0,10,8.0,0.27,,,,
A3C7Z9ALUTSXHX,136.0,9,8.0,0.23,,,,
A3C7Z9ALUTSXHX,73.0,9,6.0,0.23,,,,
A3C7Z9ALUTSXHX,164.0,10,6.0,0.27,,,,
A3C7Z9ALUTSXHX,61.0,9,7.0,0.23,,,,
A3C7Z9ALUTSXHX,45.0,9,5.0,0.23,,,,
A3FH8K3XZJADMY,92.0,10,6.0,0.27,,,,
A3FH8K3XZJADMY,99.0,10,7.0,0.27,,,,
A3FH8K3XZJADMY,152.0,8,5.0,0.23,,,,
A3FH8K3XZJADMY,101.0,10,7.0,0.27,,,,
A3FH8K3XZJADMY,103.0,9,5.0,0.23,,,,
A3FIN4CUQQ8RN7,158.0,7,6.0,0.19,,,,
A3FIN4CUQQ8RN7,131.0,5,3.0,0.14,,,,
A3FIN4CUQQ8RN7,155.0,9,5.0,0.25,,,,
A3FIN4CUQQ8RN7,139.0,10,6.0,0.27,,,,
A3FIN4CUQQ8RN7,110.0,10,6.0,0.27,,,,
A3FPBA6Z1ZBVZE,87.0,10,6.0,0.27,,,,
A3FPBA6Z1ZBVZE,92.0,10,6.0,0.27,,,,
A3FPBA6Z1ZBVZE,117.0,10,8.0,0.27,,,,
A3FPBA6Z1ZBVZE,78.0,10,8.0,0.27,,,,
A3FPBA6Z1ZBVZE,64.0,10,5.0,0.27,,,,
A3IT7C62W5QCYD,82.0,10,7.0,0.27,,,,
A3IT7C62W5QCYD,62.0,10,9.0,0.27,,,,
A3IT7C62W5QCYD,68.0,10,6.0,0.27,,,,
A3IT7C62W5QCYD,58.0,9,7.0,0.23,,,,
A3IT7C62W5QCYD,88.0,10,6.0,0.27,,,,
A3IXM7AROZIX0H,75.0,10,9.0,0.27,,,,
A3IXM7AROZIX0H,65.0,10,8.0,0.27,,,,
A3IXM7AROZIX0H,55.0,10,7.0,0.27,,,,
A3IXM7AROZIX0H,75.0,10,6.0,0.27,,,,
A3IXM7AROZIX0H,45.0,10,7.0,0.27,,,,
A3KT02CXO9T6Z8,60.0,10,7.0,0.27,,,,
A3KT02CXO9T6Z8,54.0,10,9.0,0.27,,,,
A3KT02CXO9T6Z8,63.0,10,8.0,0.27,,,,
A3KT02CXO9T6Z8,46.0,10,6.0,0.27,,,,
A3KT02CXO9T6Z8,62.0,10,5.0,0.27,,,,
A3MC4FJOC2UVYJ,221.0,6,3.0,0.15,,,,
A3MC4FJOC2UVYJ,85.0,9,8.0,0.25,,,,
A3MC4FJOC2UVYJ,133.0,9,6.0,0.26,,,,
A3MC4FJOC2UVYJ,74.0,10,7.0,0.27,,,,
A3MC4FJOC2UVYJ,70.0,10,9.0,0.27,,,,
A3MF5GN0AFDWGN,63.0,10,9.0,0.27,,,,
A3MF5GN0AFDWGN,58.0,10,8.0,0.27,,,,
A3MF5GN0AFDWGN,58.0,10,7.0,0.27,,,,
A3MF5GN0AFDWGN,93.0,10,8.0,0.27,,,,
A3MF5GN0AFDWGN,79.0,10,6.0,0.27,,,,
A3MG1TXKB2V3V7,122.0,10,9.0,0.27,,,,
A3MG1TXKB2V3V7,,,,,,,,
A3MG1TXKB2V3V7,,,,,,,,
A3MG1TXKB2V3V7,,,,,,,,
A3MG1TXKB2V3V7,,,,,,,,
A3O5G4PAUHAVOI,119.0,10,8.0,0.27,,,,
A3O5G4PAUHAVOI,41.0,10,7.0,0.27,,,,
A3O5G4PAUHAVOI,66.0,10,6.0,0.27,,,,
A3O5G4PAUHAVOI,62.0,10,6.0,0.27,,,,
A3O5G4PAUHAVOI,50.0,10,7.0,0.27,,,,
A3OW4Y37UD3SML,138.0,9,4.0,0.26,,,,
A3OW4Y37UD3SML,140.0,9,5.0,0.24,,,,
A3OW4Y37UD3SML,105.0,10,10.0,0.27,,,,
A3OW4Y37UD3SML,73.0,10,7.0,0.27,,,,
A3OW4Y37UD3SML,74.0,9,9.0,0.24,,,,
A3TVJTQUSMF8NI,91.0,10,7.0,0.27,,,,
A3TVJTQUSMF8NI,60.0,10,7.0,0.27,,,,
A3TVJTQUSMF8NI,49.0,10,4.0,0.27,,,,
A3TVJTQUSMF8NI,74.0,10,6.0,0.27,,,,
A3TVJTQUSMF8NI,59.0,10,8.0,0.27,,,,
A3USIJJCFXMG33,50.0,10,8.0,0.27,,,,
A3USIJJCFXMG33,38.0,9,5.0,0.24,,,,
A3USIJJCFXMG33,30.0,10,6.0,0.27,,,,
A3USIJJCFXMG33,50.0,10,5.0,0.27,,,,
A3USIJJCFXMG33,42.0,10,5.0,0.27,,,,
A4C4JPLX3M246,87.0,10,6.0,0.27,,,,
A4C4JPLX3M246,82.0,10,7.0,0.27,,,,
A4C4JPLX3M246,51.0,10,5.0,0.27,,,,
A4C4JPLX3M246,74.0,10,8.0,0.27,,,,
A4C4JPLX3M246,104.0,10,7.0,0.27,,,,
A7BCBYYNSORBY,91.0,7,6.0,0.18,,,,
A7BCBYYNSORBY,56.0,10,7.0,0.27,,,,
A7BCBYYNSORBY,39.0,10,8.0,0.27,,,,
A7BCBYYNSORBY,64.0,10,6.0,0.27,,,,
A7BCBYYNSORBY,36.0,10,7.0,0.27,,,,
A7QWSL1MOFVO7,167.0,10,7.0,0.27,,,,
A7QWSL1MOFVO7,117.0,9,6.0,0.25,,,,
A7QWSL1MOFVO7,111.0,9,4.0,0.25,,,,
A7QWSL1MOFVO7,144.0,9,5.0,0.24,,,,
A7QWSL1MOFVO7,125.0,9,5.0,0.25,,,,
AB4SWSQGKADYJ,10.0,1,0.0,0.03,,,,
AB4SWSQGKADYJ,0.0,1,1.0,0.03,,,,
AB4SWSQGKADYJ,6.0,2,1.0,0.05,,,,
AB4SWSQGKADYJ,,,,,,,,
AB4SWSQGKADYJ,,,,,,,,
AEDANPWFSD3KB,44.0,9,5.0,0.23,,,,
AEDANPWFSD3KB,40.0,10,8.0,0.27,,,,
AEDANPWFSD3KB,39.0,10,7.0,0.27,,,,
AEDANPWFSD3KB,31.0,10,9.0,0.27,,,,
AEDANPWFSD3KB,33.0,10,8.0,0.27,,,,
AHFWMHXRTGDK9,46.0,9,8.0,0.24,,,,
AHFWMHXRTGDK9,95.0,7,5.0,0.18,,,,
AHFWMHXRTGDK9,36.0,10,9.0,0.27,,,,
AHFWMHXRTGDK9,64.0,10,6.0,0.27,,,,
AHFWMHXRTGDK9,42.0,10,9.0,0.27,,,,
AHLY43ZD9BNAF,59.0,10,9.0,0.27,,,,
AHLY43ZD9BNAF,47.0,10,9.0,0.27,,,,
AHLY43ZD9BNAF,56.0,10,5.0,0.27,,,,
AHLY43ZD9BNAF,53.0,10,7.0,0.27,,,,
AHLY43ZD9BNAF,45.0,10,9.0,0.27,,,,
AHPW5R1OVKV1X,195.0,10,6.0,0.27,,,,
AHPW5R1OVKV1X,160.0,10,5.0,0.27,,,,
AHPW5R1OVKV1X,172.0,10,8.0,0.27,,,,
AHPW5R1OVKV1X,121.0,10,5.0,0.27,,,,
AHPW5R1OVKV1X,101.0,10,8.0,0.27,,,,
ALWIVW72RVB5E,85.0,8,6.0,0.2,,,,
ALWIVW72RVB5E,61.0,8,5.0,0.21,,,,
ALWIVW72RVB5E,69.0,8,5.0,0.23,,,,
ALWIVW72RVB5E,55.0,9,4.0,0.24,,,,
ALWIVW72RVB5E,48.0,9,7.0,0.24,,,,
ANMV627610253,104.0,10,9.0,0.27,,,,
ANMV627610253,90.0,10,9.0,0.27,,,,
ANMV627610253,90.0,10,8.0,0.27,,,,
ANMV627610253,86.0,10,5.0,0.27,,,,
ANMV627610253,60.0,10,4.0,0.27,,,,
AQSK1671FL496,10.0,1,1.0,0.03,,,,
AQSK1671FL496,15.0,2,0.0,0.05,,,,
AQSK1671FL496,6.0,2,1.0,0.05,,,,
AQSK1671FL496,7.0,2,2.0,0.05,,,,
AQSK1671FL496,5.0,2,1.0,0.05,,,,
ATJYRPD1X80EY,88.0,10,7.0,0.27,,,,
ATJYRPD1X80EY,66.0,10,8.0,0.27,,,,
ATJYRPD1X80EY,72.0,9,5.0,0.23,,,,
ATJYRPD1X80EY,64.0,10,9.0,0.27,,,,
ATJYRPD1X80EY,69.0,10,6.0,0.27,,,,
AUGN7P7HPWY1H,146.0,9,7.0,0.23,,,,
AUGN7P7HPWY1H,,,,,,,,
AUGN7P7HPWY1H,,,,,,,,
AUGN7P7HPWY1H,,,,,,,,
AUGN7P7HPWY1H,,,,,,,,
AVEUV5HGMBAQA,65.0,10,8.0,0.27,,,,
AVEUV5HGMBAQA,53.0,10,7.0,0.27,,,,
AVEUV5HGMBAQA,75.0,9,7.0,0.26,,,,
AVEUV5HGMBAQA,57.0,10,5.0,0.27,,,,
AVEUV5HGMBAQA,74.0,10,7.0,0.27,,,,
AWGOTRBZPJYWN,167.0,10,6.0,0.27,,,,
AWGOTRBZPJYWN,266.0,10,7.0,0.27,,,,
AWGOTRBZPJYWN,84.0,9,7.0,0.25,,,,
AWGOTRBZPJYWN,53.0,6,5.0,0.15,,,,
AWGOTRBZPJYWN,131.0,10,7.0,0.27,,,,
AWIG92ISYM93N,169.0,10,5.0,0.27,,,,
AWIG92ISYM93N,152.0,10,5.0,0.27,,,,
AWIG92ISYM93N,96.0,10,8.0,0.27,,,,
AWIG92ISYM93N,164.0,10,8.0,0.27,,,,
AWIG92ISYM93N,107.0,10,6.0,0.27,,,,
AWIJA22L1YW6N,100.0,10,6.0,0.27,,,,
AWIJA22L1YW6N,80.0,10,8.0,0.27,,,,
AWIJA22L1YW6N,101.0,10,5.0,0.27,,,,
AWIJA22L1YW6N,107.0,10,5.0,0.27,,,,
AWIJA22L1YW6N,98.0,10,8.0,0.27,,,,
AX9LH5UKXP452,83.0,10,8.0,0.27,,,,
AX9LH5UKXP452,61.0,10,7.0,0.27,,,,
AX9LH5UKXP452,85.0,10,8.0,0.27,,,,
AX9LH5UKXP452,92.0,10,9.0,0.27,,,,
AX9LH5UKXP452,55.0,10,8.0,0.27,,,,
AYZ10DNMOH3GG,48.0,10,9.0,0.27,,,,
AYZ10DNMOH3GG,49.0,10,5.0,0.27,,,,
AYZ10DNMOH3GG,40.0,10,6.0,0.27,,,,
AYZ10DNMOH3GG,50.0,10,6.0,0.27,,,,
AYZ10DNMOH3GG,58.0,9,6.0,0.26,,,,
AZSIQOEHMFQ4J,10.0,1,1.0,0.02,,,,
AZSIQOEHMFQ4J,34.0,5,4.0,0.13,,,,
AZSIQOEHMFQ4J,93.0,7,4.0,0.2,,,,
