worker_id,session_duration,tasks_completed_session,quality_session,total_reward,throughput,Answer.task-set-rating
A3E9N7HDRLT8KV,164,8,1,0.24,2.926829268,5
A3G5ZPURJ0XCBG,124,9,0.777777778,0.27,4.35483871,5
A3GTPW3MYSLMR7,67,9,0.555555556,0.27,8.059701493,3
A3HC8FUORPCNN1,77,9,1,0.27,7.012987013,3
A3HH7T31PFH49C,90,3,1,0.09,2,3
A3JNSAQ0BJ33ZM,40,5,1,0.15,7.5,5
A3P86OK72F8M99,48,8,0.5,0.24,10,3
A3QTW23DMB8PHI,89,6,0.5,0.18,4.04494382,5
A3RAL81XKTKNMS,20,4,0.75,0.12,12,4
A3SBNJPZS7E2AX,48,6,0.666666667,0.18,7.5,4
A3SLY0SJLJZ0J1,10,3,0.666666667,0.09,18,5
A3SWYPKNAPAQKI,72,9,0.888888889,0.27,7.5,4
A3VLGVKJOHU58D,28,7,0.714285714,0.21,15,5
A5FUU339LEP25,57,8,0.75,0.24,8.421052632,5
A8289AEOKHKV4,10,1,1,0.03,6,5
A843DU1CYIR9Z,35,6,0.666666667,0.18,10.28571429,3
A9UBOMDU3AJYF,99,9,0.666666667,0.27,5.454545455,5
AAABU3NPTCTAR,67,9,0.333333333,0.27,8.059701493,4
AAXILKN9M4YW1,85,9,0.555555556,0.27,6.352941176,5
AI01TBF4CXKXI,59,8,0.5,0.24,8.13559322,5
AKLKDS34ZAGML,36,7,0.714285714,0.21,11.66666667,5
AL4A0AKTQGE4A,16,3,0.666666667,0.09,11.25,5
AOEO9ZV81R0I4,74,9,0.444444444,0.27,7.297297297,4
AOY5CF0UQUMO2,82,9,0.555555556,0.27,6.585365854,5
APF1EAZT104LQ,43,8,0.375,0.24,11.1627907,4
AS11VPZ1QAEQB,176,8,0.875,0.24,2.727272727,5
ASG1PXG3EUYN8,62,8,0.875,0.24,7.741935484,5
ASW8M4F98R3R6,59,8,0.875,0.24,8.13559322,4
AXID3RPK6NZT6,77,9,0.888888889,0.27,7.012987013,4
AXKHNWMKGT751,75,8,0.75,0.24,6.4,5
AYDIZBR38B0TY,129,8,0.375,0.24,3.720930233,5
AYQ8YE6T9W8FB,191,9,0.555555556,0.27,2.827225131,4
AZI9VZ55E3TP2,133,8,0.5,0.24,3.609022556,4
