worker_id,window_duration,tasks_completed,correct_tasks,partial_reward,session_duration,tasks_completed_session,quality_session,total_reward,throughput
A14JGIN4ZXXLGD,23,3,3,0.11,,,,,
A14JGIN4ZXXLGD,,,,,,,,,
A14JGIN4ZXXLGD,,,,,,,,,
A171NRH2G227NA,10,1,1,0.04,10,1,1,0.04,6
A171NRH2G227NA,,,,,,,,,
A171NRH2G227NA,,,,,,,,,
A171NRH2G227NA,,,,,,,,,
A171NRH2G227NA,,,,,,,,,
A17MKHO0INIV0D,29,2,0,0.08,133,8,0.375,0.235,3.609022556
A17MKHO0INIV0D,26,3,2,0.06,,,,,
A17MKHO0INIV0D,78,3,1,0.095,,,,,
A17MKHO0INIV0D,,,,,,,,,
A17MKHO0INIV0D,,,,,,,,,
A1A3S0HSZZGZ43,27,3,2,0.07,61,9,0.444444444,0.23,8.852459016
A1A3S0HSZZGZ43,13,3,1,0.095,,,,,
A1A3S0HSZZGZ43,21,3,1,0.065,,,,,
A1A3S0HSZZGZ43,,,,,,,,,
A1A3S0HSZZGZ43,,,,,,,,,
A1AYYEZDTP7VL,31,2,2,0.07,165,7,0.857142857,0.23,2.545454545
A1AYYEZDTP7VL,73,3,3,0.12,,,,,
A1AYYEZDTP7VL,61,2,1,0.04,,,,,
A1AYYEZDTP7VL,,,,,,,,,
A1AYYEZDTP7VL,,,,,,,,,
A1BMJX36PG4EMH,19,2,2,0.08,38,7,0.428571429,0.24,11.05263158
A1BMJX36PG4EMH,5,2,1,0.06,,,,,
A1BMJX36PG4EMH,14,3,0,0.1,,,,,
A1BMJX36PG4EMH,,,,,,,,,
A1BMJX36PG4EMH,,,,,,,,,
A1CZ2GB5LZ9O5H,10,1,0,0.05,10,1,0,0.05,6
A1CZ2GB5LZ9O5H,,,,,,,,,
A1CZ2GB5LZ9O5H,,,,,,,,,
A1CZ2GB5LZ9O5H,,,,,,,,,
A1CZ2GB5LZ9O5H,,,,,,,,,
A1EJ0659YRDUOR,38,3,0,0.08,66,8,0.5,0.23,7.272727273
A1EJ0659YRDUOR,20,2,2,0.07,,,,,
A1EJ0659YRDUOR,8,3,2,0.08,,,,,
A1EJ0659YRDUOR,,,,,,,,,
A1EJ0659YRDUOR,,,,,,,,,
A1EK0G6HYJ60O1,36,3,3,0.125,73,9,0.777777778,0.345,7.397260274
A1EK0G6HYJ60O1,16,3,2,0.1,,,,,
A1EK0G6HYJ60O1,21,3,2,0.12,,,,,
A1EK0G6HYJ60O1,,,,,,,,,
A1EK0G6HYJ60O1,,,,,,,,,
A1H0QGA8A42RDD,10,1,1,0.025,53,7,0.571428571,0.205,7.924528302
A1H0QGA8A42RDD,18,3,2,0.11,,,,,
A1H0QGA8A42RDD,25,3,1,0.07,,,,,
A1H0QGA8A42RDD,,,,,,,,,
A1H0QGA8A42RDD,,,,,,,,,
A1I23EV4D72JBL,19,2,2,0.09,60,7,0.857142857,0.235,7
A1I23EV4D72JBL,11,2,1,0.04,,,,,
A1I23EV4D72JBL,30,3,3,0.105,,,,,
A1I23EV4D72JBL,,,,,,,,,
A1I23EV4D72JBL,,,,,,,,,
A1IH7F19OWLD3A,117,3,2,0.095,211,9,0.888888889,0.275,2.559241706
A1IH7F19OWLD3A,67,3,3,0.085,,,,,
A1IH7F19OWLD3A,27,3,3,0.095,,,,,
A1IH7F19OWLD3A,,,,,,,,,
A1IH7F19OWLD3A,,,,,,,,,
A1KBDN6C1Q0D4U,89,3,2,0.08,153,9,0.777777778,0.25,3.529411765
A1KBDN6C1Q0D4U,37,3,2,0.09,,,,,
A1KBDN6C1Q0D4U,27,3,3,0.08,,,,,
A1KBDN6C1Q0D4U,,,,,,,,,
A1KBDN6C1Q0D4U,,,,,,,,,
A1LUWOV426JV1N,36,3,3,0.13,76,9,0.666666667,0.35,7.105263158
A1LUWOV426JV1N,18,3,1,0.1,,,,,
A1LUWOV426JV1N,22,3,2,0.12,,,,,
A1LUWOV426JV1N,,,,,,,,,
A1LUWOV426JV1N,,,,,,,,,
A1M6A01CROTF3K,27,3,3,0.1,61,9,0.666666667,0.305,8.852459016
A1M6A01CROTF3K,18,3,2,0.12,,,,,
A1M6A01CROTF3K,16,3,1,0.085,,,,,
A1M6A01CROTF3K,,,,,,,,,
A1M6A01CROTF3K,,,,,,,,,
A1NYHBSW9EIQX9,95,3,1,0.075,157,9,0.444444444,0.24,3.439490446
A1NYHBSW9EIQX9,28,3,1,0.09,,,,,
A1NYHBSW9EIQX9,34,3,2,0.075,,,,,
A1NYHBSW9EIQX9,,,,,,,,,
A1NYHBSW9EIQX9,,,,,,,,,
A1OSESE6RG3NFB,22,3,3,0.09,50,9,1,0.275,10.8
A1OSESE6RG3NFB,14,3,3,0.12,,,,,
A1OSESE6RG3NFB,14,3,3,0.065,,,,,
A1OSESE6RG3NFB,,,,,,,,,
A1OSESE6RG3NFB,,,,,,,,,
A1OSYT1HAG3ZQM,40,3,0,0.12,40,3,0,0.12,4.5
A1OSYT1HAG3ZQM,,,,,,,,,
A1OSYT1HAG3ZQM,,,,,,,,,
A1OSYT1HAG3ZQM,,,,,,,,,
A1OSYT1HAG3ZQM,,,,,,,,,
A1OWHPMKE7YAGL,41,3,3,0.11,86,8,0.75,0.285,5.581395349
A1OWHPMKE7YAGL,10,3,1,0.1,,,,,
A1OWHPMKE7YAGL,35,2,2,0.075,,,,,
A1OWHPMKE7YAGL,,,,,,,,,
A1OWHPMKE7YAGL,,,,,,,,,
A1QC6WNXRWWPCC,65,3,2,0.09,137,9,0.555555556,0.26,3.941605839
A1QC6WNXRWWPCC,60,3,2,0.08,,,,,
A1QC6WNXRWWPCC,12,3,1,0.09,,,,,
A1QC6WNXRWWPCC,,,,,,,,,
A1QC6WNXRWWPCC,,,,,,,,,
A1QGQCC33OBPKM,67,3,3,0.11,156,9,0.777777778,0.31,3.461538462
A1QGQCC33OBPKM,44,3,3,0.09,,,,,
A1QGQCC33OBPKM,45,3,1,0.11,,,,,
A1QGQCC33OBPKM,,,,,,,,,
A1QGQCC33OBPKM,,,,,,,,,
A1VA5PON4OHGYA,20,2,2,0.06,101,8,0.875,0.275,4.752475248
A1VA5PON4OHGYA,39,3,2,0.13,,,,,
A1VA5PON4OHGYA,42,3,3,0.085,,,,,
A1VA5PON4OHGYA,,,,,,,,,
A1VA5PON4OHGYA,,,,,,,,,
A1XLQVD1R2V8CL,24,3,2,0.105,24,3,0.666666667,0.105,7.5
A1XLQVD1R2V8CL,,,,,,,,,
A1XLQVD1R2V8CL,,,,,,,,,
A1XLQVD1R2V8CL,,,,,,,,,
A1XLQVD1R2V8CL,,,,,,,,,
A1YJZESXJDG0XM,75,3,2,0.11,147,8,0.875,0.25,3.265306122
A1YJZESXJDG0XM,44,3,3,0.07,,,,,
A1YJZESXJDG0XM,28,2,2,0.07,,,,,
A1YJZESXJDG0XM,,,,,,,,,
A1YJZESXJDG0XM,,,,,,,,,
A1YTKIM7NU5MGV,87,3,3,0.09,164,9,0.555555556,0.26,3.292682927
A1YTKIM7NU5MGV,32,3,0,0.08,,,,,
A1YTKIM7NU5MGV,45,3,2,0.09,,,,,
A1YTKIM7NU5MGV,,,,,,,,,
A1YTKIM7NU5MGV,,,,,,,,,
A1ZQU2A5A8EIHL,37,3,2,0.085,55,8,0.625,0.22,8.727272727
A1ZQU2A5A8EIHL,8,2,1,0.045,,,,,
A1ZQU2A5A8EIHL,10,3,2,0.09,,,,,
A1ZQU2A5A8EIHL,,,,,,,,,
A1ZQU2A5A8EIHL,,,,,,,,,
A21U899S9P4XSC,10,1,0,0.03,10,1,0,0.03,6
A21U899S9P4XSC,,,,,,,,,
A21U899S9P4XSC,,,,,,,,,
A21U899S9P4XSC,,,,,,,,,
A21U899S9P4XSC,,,,,,,,,
A23FMK3IDMUAXQ,20,2,0,0.055,40,7,0.285714286,0.195,10.5
A23FMK3IDMUAXQ,9,2,0,0.05,,,,,
A23FMK3IDMUAXQ,11,3,2,0.09,,,,,
A23FMK3IDMUAXQ,,,,,,,,,
A23FMK3IDMUAXQ,,,,,,,,,
A247TCDIBB07JC,20,3,2,0.065,48,9,0.444444444,0.225,11.25
A247TCDIBB07JC,12,3,1,0.09,,,,,
A247TCDIBB07JC,16,3,1,0.07,,,,,
A247TCDIBB07JC,,,,,,,,,
A247TCDIBB07JC,,,,,,,,,
A24A03BCD4TKWL,43,3,2,0.09,111,7,0.857142857,0.19,3.783783784
A24A03BCD4TKWL,17,2,2,0.05,,,,,
A24A03BCD4TKWL,51,2,2,0.05,,,,,
A24A03BCD4TKWL,,,,,,,,,
A24A03BCD4TKWL,,,,,,,,,
A24JNJIJ6SKKVZ,37,3,2,0.09,100,8,0.375,0.295,4.8
A24JNJIJ6SKKVZ,41,3,1,0.125,,,,,
A24JNJIJ6SKKVZ,22,2,0,0.08,,,,,
A24JNJIJ6SKKVZ,,,,,,,,,
A24JNJIJ6SKKVZ,,,,,,,,,
A25VNYKP7SASYC,42,3,3,0.085,79,8,0.5,0.25,6.075949367
A25VNYKP7SASYC,28,3,1,0.12,,,,,
A25VNYKP7SASYC,9,2,0,0.045,,,,,
A25VNYKP7SASYC,,,,,,,,,
A25VNYKP7SASYC,,,,,,,,,
A267H808C339ZQ,58,3,2,0.08,91,8,0.5,0.185,5.274725275
A267H808C339ZQ,24,3,1,0.06,,,,,
A267H808C339ZQ,9,2,1,0.045,,,,,
A267H808C339ZQ,,,,,,,,,
A267H808C339ZQ,,,,,,,,,
A27TYK7FQNPG8J,28,3,2,0.125,74,9,0.444444444,0.325,7.297297297
A27TYK7FQNPG8J,15,3,2,0.06,,,,,
A27TYK7FQNPG8J,31,3,0,0.14,,,,,
A27TYK7FQNPG8J,,,,,,,,,
A27TYK7FQNPG8J,,,,,,,,,
A2880Y23V0UITQ,37,3,1,0.09,69,8,0.5,0.215,6.956521739
A2880Y23V0UITQ,17,3,2,0.075,,,,,
A2880Y23V0UITQ,15,2,1,0.05,,,,,
A2880Y23V0UITQ,,,,,,,,,
A2880Y23V0UITQ,,,,,,,,,
A28JGET2XTPRG5,55,3,2,0.11,105,8,0.625,0.27,4.571428571
A28JGET2XTPRG5,13,2,2,0.05,,,,,
A28JGET2XTPRG5,37,3,1,0.11,,,,,
A28JGET2XTPRG5,,,,,,,,,
A28JGET2XTPRG5,,,,,,,,,
A2AI4HOWRCG7KZ,37,3,2,0.095,98,9,0.777777778,0.285,5.510204082
A2AI4HOWRCG7KZ,23,3,3,0.07,,,,,
A2AI4HOWRCG7KZ,38,3,2,0.12,,,,,
A2AI4HOWRCG7KZ,,,,,,,,,
A2AI4HOWRCG7KZ,,,,,,,,,
A2AJIKFMHK85XN,10,1,0,0.05,10,1,0,0.05,6
A2AJIKFMHK85XN,,,,,,,,,
A2AJIKFMHK85XN,,,,,,,,,
A2AJIKFMHK85XN,,,,,,,,,
A2AJIKFMHK85XN,,,,,,,,,
A2APG8MSLJ6G2K,52,3,2,0.095,95,7,0.571428571,0.235,4.421052632
A2APG8MSLJ6G2K,43,3,2,0.11,,,,,
A2APG8MSLJ6G2K,0,1,0,0.03,,,,,
A2APG8MSLJ6G2K,,,,,,,,,
A2APG8MSLJ6G2K,,,,,,,,,
A2C8QIT0DJRCHN,74,3,1,0.08,192,8,0.5,0.225,2.5
A2C8QIT0DJRCHN,35,2,1,0.07,,,,,
A2C8QIT0DJRCHN,83,3,2,0.075,,,,,
A2C8QIT0DJRCHN,,,,,,,,,
A2C8QIT0DJRCHN,,,,,,,,,
A2CAMPAA7650H2,18,2,1,0.08,52,8,0.875,0.27,9.230769231
A2CAMPAA7650H2,16,3,3,0.07,,,,,
A2CAMPAA7650H2,18,3,3,0.12,,,,,
A2CAMPAA7650H2,,,,,,,,,
A2CAMPAA7650H2,,,,,,,,,
A2DQ9P2NT6QN0U,30,3,2,0.08,58,8,0.625,0.27,8.275862069
A2DQ9P2NT6QN0U,11,3,2,0.13,,,,,
A2DQ9P2NT6QN0U,17,2,1,0.06,,,,,
A2DQ9P2NT6QN0U,,,,,,,,,
A2DQ9P2NT6QN0U,,,,,,,,,
A2HG1N3BVQO6I,19,2,2,0.06,40,6,0.833333333,0.23,9
A2HG1N3BVQO6I,12,2,1,0.09,,,,,
A2HG1N3BVQO6I,9,2,2,0.08,,,,,
A2HG1N3BVQO6I,,,,,,,,,
A2HG1N3BVQO6I,,,,,,,,,
A2HJ05IDCIY01V,37,3,1,0.085,97,9,0.555555556,0.275,5.567010309
A2HJ05IDCIY01V,38,3,1,0.11,,,,,
A2HJ05IDCIY01V,22,3,3,0.08,,,,,
A2HJ05IDCIY01V,,,,,,,,,
A2HJ05IDCIY01V,,,,,,,,,
A2IQFNKKQ4VU1U,35,3,1,0.1,67,7,0.142857143,0.2,6.268656716
A2IQFNKKQ4VU1U,0,1,0,0.02,,,,,
A2IQFNKKQ4VU1U,32,3,0,0.08,,,,,
A2IQFNKKQ4VU1U,,,,,,,,,
A2IQFNKKQ4VU1U,,,,,,,,,
A2IRIBEI9NTIW8,44,3,2,0.08,66,9,0.888888889,0.27,8.181818182
A2IRIBEI9NTIW8,10,3,3,0.1,,,,,
A2IRIBEI9NTIW8,12,3,3,0.09,,,,,
A2IRIBEI9NTIW8,,,,,,,,,
A2IRIBEI9NTIW8,,,,,,,,,
A2J6S7QR4CGXTW,37,3,3,0.11,87,9,0.888888889,0.3,6.206896552
A2J6S7QR4CGXTW,17,3,2,0.08,,,,,
A2J6S7QR4CGXTW,33,3,3,0.11,,,,,
A2J6S7QR4CGXTW,,,,,,,,,
A2J6S7QR4CGXTW,,,,,,,,,
A2JZT1SP5F3PR1,35,3,2,0.07,61,8,0.875,0.235,7.868852459
A2JZT1SP5F3PR1,7,2,2,0.08,,,,,
A2JZT1SP5F3PR1,19,3,3,0.085,,,,,
A2JZT1SP5F3PR1,,,,,,,,,
A2JZT1SP5F3PR1,,,,,,,,,
A2K6GAHX04JMQJ,111,3,2,0.1,215,9,0.555555556,0.345,2.511627907
A2K6GAHX04JMQJ,66,3,1,0.15,,,,,
A2K6GAHX04JMQJ,38,3,2,0.095,,,,,
A2K6GAHX04JMQJ,,,,,,,,,
A2K6GAHX04JMQJ,,,,,,,,,
A2K9GHFRY094XA,19,2,0,0.04,33,6,0.333333333,0.155,10.90909091
A2K9GHFRY094XA,14,3,1,0.09,,,,,
A2K9GHFRY094XA,0,1,1,0.025,,,,,
A2K9GHFRY094XA,,,,,,,,,
A2K9GHFRY094XA,,,,,,,,,
A2N10QFJ8OCU2T,36,3,3,0.08,36,3,1,0.08,5
A2N10QFJ8OCU2T,,,,,,,,,
A2N10QFJ8OCU2T,,,,,,,,,
A2N10QFJ8OCU2T,,,,,,,,,
A2N10QFJ8OCU2T,,,,,,,,,
A2N962G55T9MOB,43,3,2,0.1,74,9,0.777777778,0.29,7.297297297
A2N962G55T9MOB,23,3,2,0.09,,,,,
A2N962G55T9MOB,8,3,3,0.1,,,,,
A2N962G55T9MOB,,,,,,,,,
A2N962G55T9MOB,,,,,,,,,
A2RLY2I4U06ETD,19,3,2,0.1,37,9,0.777777778,0.27,14.59459459
A2RLY2I4U06ETD,8,3,2,0.08,,,,,
A2RLY2I4U06ETD,10,3,3,0.09,,,,,
A2RLY2I4U06ETD,,,,,,,,,
A2RLY2I4U06ETD,,,,,,,,,
A2UVJMJV1EOH9X,18,3,0,0.1,43,9,0.333333333,0.28,12.55813953
A2UVJMJV1EOH9X,10,3,1,0.08,,,,,
A2UVJMJV1EOH9X,15,3,2,0.1,,,,,
A2UVJMJV1EOH9X,,,,,,,,,
A2UVJMJV1EOH9X,,,,,,,,,
A2VEUYSAOYJJDC,36,2,2,0.055,85,8,1,0.225,5.647058824
A2VEUYSAOYJJDC,21,3,3,0.095,,,,,
A2VEUYSAOYJJDC,28,3,3,0.075,,,,,
A2VEUYSAOYJJDC,,,,,,,,,
A2VEUYSAOYJJDC,,,,,,,,,
A2WP04RFZ9STGJ,36,3,2,0.1,79,9,0.666666667,0.285,6.835443038
A2WP04RFZ9STGJ,25,3,2,0.09,,,,,
A2WP04RFZ9STGJ,18,3,2,0.095,,,,,
A2WP04RFZ9STGJ,,,,,,,,,
A2WP04RFZ9STGJ,,,,,,,,,
A2YE2I9DYV9OKW,70,3,3,0.1,115,8,0.875,0.23,4.173913043
A2YE2I9DYV9OKW,25,2,2,0.04,,,,,
A2YE2I9DYV9OKW,20,3,2,0.09,,,,,
A2YE2I9DYV9OKW,,,,,,,,,
A2YE2I9DYV9OKW,,,,,,,,,
A304JFG8AJM7U6,28,3,2,0.105,51,9,0.777777778,0.315,10.58823529
A304JFG8AJM7U6,13,3,2,0.08,,,,,
A304JFG8AJM7U6,10,3,3,0.13,,,,,
A304JFG8AJM7U6,,,,,,,,,
A304JFG8AJM7U6,,,,,,,,,
A306XHZ4SSZN23,10,1,1,0.05,119,7,0.714285714,0.25,3.529411765
A306XHZ4SSZN23,33,3,2,0.105,,,,,
A306XHZ4SSZN23,76,3,2,0.095,,,,,
A306XHZ4SSZN23,,,,,,,,,
A306XHZ4SSZN23,,,,,,,,,
A30DEG9REA9V2N,170,3,2,0.095,352,9,0.666666667,0.3,1.534090909
A30DEG9REA9V2N,137,3,2,0.13,,,,,
A30DEG9REA9V2N,45,3,2,0.075,,,,,
A30DEG9REA9V2N,,,,,,,,,
A30DEG9REA9V2N,,,,,,,,,
A31EUQA8YR9SPI,92,3,3,0.105,181,9,0.555555556,0.345,2.983425414
A31EUQA8YR9SPI,46,3,1,0.14,,,,,
A31EUQA8YR9SPI,43,3,1,0.1,,,,,
A31EUQA8YR9SPI,,,,,,,,,
A31EUQA8YR9SPI,,,,,,,,,
A333JTLOVOOWS,28,2,0,0.05,66,7,0.571428571,0.2,6.363636364
A333JTLOVOOWS,20,3,2,0.1,,,,,
A333JTLOVOOWS,18,2,2,0.05,,,,,
A333JTLOVOOWS,,,,,,,,,
A333JTLOVOOWS,,,,,,,,,
A334GA484JTNIM,35,3,1,0.09,62,8,0.375,0.22,7.741935484
A334GA484JTNIM,17,3,2,0.09,,,,,
A334GA484JTNIM,10,2,0,0.04,,,,,
A334GA484JTNIM,,,,,,,,,
A334GA484JTNIM,,,,,,,,,
A33LPSMA0N618I,76,3,2,0.09,238,9,0.555555556,0.31,2.268907563
A33LPSMA0N618I,118,3,2,0.12,,,,,
A33LPSMA0N618I,44,3,1,0.1,,,,,
A33LPSMA0N618I,,,,,,,,,
A33LPSMA0N618I,,,,,,,,,
A356EVHB3TU90R,42,3,3,0.085,72,8,0.875,0.24,6.666666667
A356EVHB3TU90R,15,2,1,0.08,,,,,
A356EVHB3TU90R,15,3,3,0.075,,,,,
A356EVHB3TU90R,,,,,,,,,
A356EVHB3TU90R,,,,,,,,,
A35IT4GHURUWK7,53,3,2,0.08,94,9,0.555555556,0.3,5.744680851
A35IT4GHURUWK7,15,3,2,0.12,,,,,
A35IT4GHURUWK7,26,3,1,0.1,,,,,
A35IT4GHURUWK7,,,,,,,,,
A35IT4GHURUWK7,,,,,,,,,
A37O5SYY9VWSPY,29,3,2,0.09,50,8,0.75,0.22,9.6
A37O5SYY9VWSPY,12,2,2,0.05,,,,,
A37O5SYY9VWSPY,9,3,2,0.08,,,,,
A37O5SYY9VWSPY,,,,,,,,,
A37O5SYY9VWSPY,,,,,,,,,
A38CJGMJRTWE87,72,3,1,0.08,128,9,0.444444444,0.28,4.21875
A38CJGMJRTWE87,25,3,1,0.11,,,,,
A38CJGMJRTWE87,31,3,2,0.09,,,,,
A38CJGMJRTWE87,,,,,,,,,
A38CJGMJRTWE87,,,,,,,,,
A3AYHESLQSDY5T,43,3,0,0.08,99,9,0.333333333,0.32,5.454545455
A3AYHESLQSDY5T,40,3,2,0.14,,,,,
A3AYHESLQSDY5T,16,3,1,0.1,,,,,
A3AYHESLQSDY5T,,,,,,,,,
A3AYHESLQSDY5T,,,,,,,,,
A3B84NGQT7Z9WE,53,3,0,0.09,86,9,0.444444444,0.3,6.279069767
A3B84NGQT7Z9WE,17,3,2,0.12,,,,,
A3B84NGQT7Z9WE,16,3,2,0.09,,,,,
A3B84NGQT7Z9WE,,,,,,,,,
A3B84NGQT7Z9WE,,,,,,,,,
A3BJZIRRQVSOT7,10,1,0,0.025,134,9,0.666666667,0.24,4.029850746
A3BJZIRRQVSOT7,26,2,2,0.04,,,,,
A3BJZIRRQVSOT7,77,3,2,0.1,,,,,
A3BJZIRRQVSOT7,21,3,2,0.075,,,,,
A3BJZIRRQVSOT7,,,,,,,,,
A3DTPGXKABAFEJ,33,3,2,0.07,184,9,0.777777778,0.3,2.934782609
A3DTPGXKABAFEJ,114,3,3,0.13,,,,,
A3DTPGXKABAFEJ,37,3,2,0.1,,,,,
A3DTPGXKABAFEJ,,,,,,,,,
A3DTPGXKABAFEJ,,,,,,,,,
A3DZGDF9HCTAOB,49,2,2,0.08,201,7,0.857142857,0.225,2.089552239
A3DZGDF9HCTAOB,73,3,3,0.065,,,,,
A3DZGDF9HCTAOB,79,2,1,0.08,,,,,
A3DZGDF9HCTAOB,,,,,,,,,
A3DZGDF9HCTAOB,,,,,,,,,
A3E9N7HDRLT8KV,50,3,2,0.085,425,9,0.444444444,0.275,1.270588235
A3E9N7HDRLT8KV,19,3,2,0.1,,,,,
A3E9N7HDRLT8KV,356,3,0,0.09,,,,,
A3E9N7HDRLT8KV,,,,,,,,,
A3E9N7HDRLT8KV,,,,,,,,,
A3G5ZPURJ0XCBG,30,2,1,0.07,30,2,0.5,0.07,4
A3G5ZPURJ0XCBG,,,,,,,,,
A3G5ZPURJ0XCBG,,,,,,,,,
A3G5ZPURJ0XCBG,,,,,,,,,
A3G5ZPURJ0XCBG,,,,,,,,,
A3GTPW3MYSLMR7,27,3,3,0.075,55,8,1,0.23,8.727272727
A3GTPW3MYSLMR7,15,2,2,0.075,,,,,
A3GTPW3MYSLMR7,13,3,3,0.08,,,,,
A3GTPW3MYSLMR7,,,,,,,,,
A3GTPW3MYSLMR7,,,,,,,,,
A3HC8FUORPCNN1,55,3,0,0.07,109,9,0.555555556,0.205,4.95412844
A3HC8FUORPCNN1,32,3,3,0.065,,,,,
A3HC8FUORPCNN1,22,3,2,0.07,,,,,
A3HC8FUORPCNN1,,,,,,,,,
A3HC8FUORPCNN1,,,,,,,,,
A3HH7T31PFH49C,37,3,2,0.09,96,8,0.75,0.24,5
A3HH7T31PFH49C,21,2,1,0.06,,,,,
A3HH7T31PFH49C,38,3,3,0.09,,,,,
A3HH7T31PFH49C,,,,,,,,,
A3HH7T31PFH49C,,,,,,,,,
A3JNSAQ0BJ33ZM,48,3,3,0.12,85,9,0.888888889,0.33,6.352941176
A3JNSAQ0BJ33ZM,20,3,2,0.08,,,,,
A3JNSAQ0BJ33ZM,17,3,3,0.13,,,,,
A3JNSAQ0BJ33ZM,,,,,,,,,
A3JNSAQ0BJ33ZM,,,,,,,,,
A3P86OK72F8M99,30,3,3,0.07,51,9,1,0.22,10.58823529
A3P86OK72F8M99,10,3,3,0.085,,,,,
A3P86OK72F8M99,11,3,3,0.065,,,,,
A3P86OK72F8M99,,,,,,,,,
A3P86OK72F8M99,,,,,,,,,
A3QTW23DMB8PHI,82,3,3,0.11,132,6,0.833333333,0.205,2.727272727
A3QTW23DMB8PHI,0,1,1,0.025,,,,,
A3QTW23DMB8PHI,50,2,1,0.07,,,,,
A3QTW23DMB8PHI,,,,,,,,,
A3QTW23DMB8PHI,,,,,,,,,
A3RAL81XKTKNMS,10,1,0,0.02,10,2,0.5,0.05,12
A3RAL81XKTKNMS,0,1,1,0.03,,,,,
A3RAL81XKTKNMS,,,,,,,,,
A3RAL81XKTKNMS,,,,,,,,,
A3RAL81XKTKNMS,,,,,,,,,
A3SBNJPZS7E2AX,107,3,1,0.13,135,9,0.333333333,0.32,4
A3SBNJPZS7E2AX,16,3,1,0.08,,,,,
A3SBNJPZS7E2AX,12,3,1,0.11,,,,,
A3SBNJPZS7E2AX,,,,,,,,,
A3SBNJPZS7E2AX,,,,,,,,,
A3SLY0SJLJZ0J1,10,1,1,0.03,36,5,0.4,0.145,8.333333333
A3SLY0SJLJZ0J1,18,2,0,0.06,,,,,
A3SLY0SJLJZ0J1,8,2,1,0.055,,,,,
A3SLY0SJLJZ0J1,,,,,,,,,
A3SLY0SJLJZ0J1,,,,,,,,,
A3SWYPKNAPAQKI,32,3,3,0.08,88,9,0.888888889,0.26,6.136363636
A3SWYPKNAPAQKI,37,3,2,0.11,,,,,
A3SWYPKNAPAQKI,19,3,3,0.07,,,,,
A3SWYPKNAPAQKI,,,,,,,,,
A3SWYPKNAPAQKI,,,,,,,,,
A3UNKB1RRNN2FT,31,3,2,0.12,80,8,0.625,0.3,6
A3UNKB1RRNN2FT,14,3,2,0.1,,,,,
A3UNKB1RRNN2FT,35,2,1,0.08,,,,,
A3UNKB1RRNN2FT,,,,,,,,,
A3UNKB1RRNN2FT,,,,,,,,,
A3VLGVKJOHU58D,206,3,3,0.1,229,9,0.777777778,0.31,2.358078603
A3VLGVKJOHU58D,16,3,2,0.11,,,,,
A3VLGVKJOHU58D,7,3,2,0.1,,,,,
A3VLGVKJOHU58D,,,,,,,,,
A3VLGVKJOHU58D,,,,,,,,,
A5FUU339LEP25,22,2,1,0.05,54,8,0.5,0.225,8.888888889
A5FUU339LEP25,16,3,1,0.1,,,,,
A5FUU339LEP25,16,3,2,0.075,,,,,
A5FUU339LEP25,,,,,,,,,
A5FUU339LEP25,,,,,,,,,
A8289AEOKHKV4,22,2,1,0.045,33,6,0.666666667,0.155,10.90909091
A8289AEOKHKV4,11,3,2,0.09,,,,,
A8289AEOKHKV4,0,1,1,0.02,,,,,
A8289AEOKHKV4,,,,,,,,,
A8289AEOKHKV4,,,,,,,,,
A843DU1CYIR9Z,41,3,2,0.09,82,9,0.666666667,0.255,6.585365854
