worker_id,session_duration,tasks_completed_session,quality_session,total_reward,throughput,
A306XHZ4SSZN23,86,7,0.285714286,0.25,4.88372093,4
A30DEG9REA9V2N,291,9,0.777777778,0.28,1.855670103,3
A31EUQA8YR9SPI,147,8,0.75,0.315,3.265306122,4
A333JTLOVOOWS,145,8,0.375,0.295,3.310344828,4
A334GA484JTNIM,130,9,0.555555556,0.25,4.153846154,4
A33LPSMA0N618I,64,8,0.875,0.27,7.5,5
A356EVHB3TU90R,48,7,0.571428571,0.2,8.75,5
A35IT4GHURUWK7,92,9,0.555555556,0.22,5.869565217,5
A37O5SYY9VWSPY,78,7,0.714285714,0.31,5.384615385,5
A38CJGMJRTWE87,110,9,0.555555556,0.29,4.909090909,4
A3AYHESLQSDY5T,10,1,0,0.04,6,5
A3B84NGQT7Z9WE,200,8,0.25,0.265,2.4,5
A3BJZIRRQVSOT7,165,9,0.222222222,0.28,3.272727273,4
A3DTPGXKABAFEJ,270,7,0.571428571,0.21,1.555555556,4
A3DZGDF9HCTAOB,128,7,0.285714286,0.18,3.28125,3
A3E9N7HDRLT8KV,128,9,0.888888889,0.295,4.21875,5
A3G5ZPURJ0XCBG,36,2,0,0.04,3.333333333,5
A3GTPW3MYSLMR7,73,9,0.777777778,0.28,7.397260274,4
A3HC8FUORPCNN1,152,9,0.444444444,0.37,3.552631579,4
A3HH7T31PFH49C,170,8,0.625,0.205,2.823529412,5
A3JNSAQ0BJ33ZM,64,9,0.777777778,0.29,8.4375,4
A3P86OK72F8M99,76,8,0.625,0.195,6.315789474,5
A3QTW23DMB8PHI,10,1,1,0.04,6,5
A3RAL81XKTKNMS,18,4,0.75,0.135,13.33333333,3
A3SBNJPZS7E2AX,92,7,0.571428571,0.235,4.565217391,4
A3SLY0SJLJZ0J1,391,9,0.444444444,0.285,1.381074169,5
A3SWYPKNAPAQKI,156,9,0.888888889,0.34,3.461538462,5
A3UNKB1RRNN2FT,103,9,0.666666667,0.275,5.242718447,5
A3VLGVKJOHU58D,55,8,1,0.25,8.727272727,5
A5FUU339LEP25,55,9,0.888888889,0.37,9.818181818,5
A8289AEOKHKV4,47,7,0.285714286,0.21,8.936170213,5
A843DU1CYIR9Z,59,9,0.666666667,0.26,9.152542373,4
A9UBOMDU3AJYF,199,9,0.333333333,0.235,2.713567839,5
AAABU3NPTCTAR,101,7,0.714285714,0.21,4.158415842,5
AAXILKN9M4YW1,123,9,0.666666667,0.335,4.390243902,5
AI01TBF4CXKXI,88,8,0.625,0.235,5.454545455,5
AKLKDS34ZAGML,74,8,0.875,0.22,6.486486486,4
AL4A0AKTQGE4A,58,9,0.555555556,0.22,9.310344828,4
AMHZ8D856PO3F,301,8,0.625,0.21,1.594684385,5
AOEO9ZV81R0I4,82,9,0.777777778,0.285,6.585365854,5
AOGEGRPMKRKY,138,9,0.777777778,0.295,3.913043478,4
AOY5CF0UQUMO2,248,8,0.75,0.255,1.935483871,5
APF1EAZT104LQ,23,3,0.666666667,0.09,7.826086957,5
AS11VPZ1QAEQB,112,9,0.888888889,0.27,4.821428571,5
ASG1PXG3EUYN8,244,9,0.888888889,0.3,2.213114754,5
ASW8M4F98R3R6,153,8,0.5,0.25,3.137254902,4
AXID3RPK6NZT6,56,8,0.75,0.23,8.571428571,3
AXKHNWMKGT751,124,7,0.857142857,0.26,3.387096774,5
AYDIZBR38B0TY,73,9,0.555555556,0.275,7.397260274,5
AZI9VZ55E3TP2,121,8,0.625,0.235,3.966942149,4
